Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency
12348.0,1797.24,4,2011-09-25 13:13:00,74
12349.0,1757.55,1,2011-11-21 09:51:00,18
12350.0,334.4,1,2011-02-02 16:01:00,309
12352.0,2506.04,8,2011-11-03 14:37:00,35
12353.0,89.0,1,2011-05-19 17:47:00,203
12354.0,1079.4,1,2011-04-21 13:11:00,231
12355.0,459.4,1,2011-05-09 13:49:00,213
12356.0,2811.43,3,2011-11-17 08:40:00,22
12358.0,1168.06,2,2011-12-08 10:26:00,1
12360.0,2662.06,3,2011-10-18 15:22:00,51
12361.0,189.9,1,2011-02-25 13:51:00,286
12363.0,552.0,2,2011-08-22 10:18:00,109
12364.0,1313.1,4,2011-12-02 10:22:00,7
12365.0,641.38,2,2011-02-21 14:04:00,290
12367.0,168.9,1,2011-12-05 16:48:00,3
12370.0,3545.69,4,2011-10-19 14:51:00,50
12371.0,1887.96,2,2011-10-26 10:16:00,44
12372.0,1298.04,3,2011-09-29 12:12:00,71
12373.0,364.6,1,2011-02-01 13:10:00,310
12374.0,742.9300000000001,1,2011-11-14 15:37:00,24
12375.0,457.5,2,2011-11-29 10:36:00,10
12377.0,1628.12,2,2011-01-28 15:45:00,314
12379.0,852.24,2,2011-09-19 10:09:00,81
12380.0,2724.81,4,2011-11-18 11:27:00,21
12381.0,1845.31,5,2011-12-05 12:44:00,4
12383.0,1850.56,5,2011-06-08 08:02:00,184
12384.0,585.27,2,2011-11-11 08:39:00,28
12386.0,401.9,2,2011-01-06 12:37:00,337
12388.0,2780.66,6,2011-11-24 12:30:00,15
12390.0,549.84,1,2011-09-21 09:33:00,79
12391.0,460.89,1,2011-11-18 12:07:00,21
12393.0,1582.6000000000001,4,2011-09-28 15:41:00,71
12394.0,1272.48,2,2011-10-07 08:08:00,63
12395.0,3018.63,12,2011-11-20 15:21:00,18
12397.0,2409.9,2,2011-11-04 09:52:00,35
12398.0,1635.6599999999999,1,2011-10-25 10:27:00,45
12399.0,1108.65,4,2011-08-12 13:15:00,118
12401.0,84.3,1,2011-02-09 13:50:00,302
12402.0,225.6,1,2011-01-20 13:49:00,322
12403.0,427.7,1,2011-10-21 10:51:00,49
12405.0,1710.39,1,2011-07-14 08:52:00,148
12406.0,3415.3,2,2011-11-17 19:22:00,21
12407.0,1708.1200000000001,5,2011-10-21 10:11:00,49
12408.0,2888.55,5,2011-11-07 12:27:00,32
12410.0,693.3299999999999,2,2011-02-04 10:39:00,308
12412.0,1226.88,3,2011-09-26 10:16:00,74
12413.0,758.1,3,2011-10-04 09:00:00,66
12414.0,562.41,3,2011-05-06 14:51:00,216
12417.0,3649.1,9,2011-12-06 14:52:00,2
12418.0,668.58,1,2011-08-19 11:08:00,112
12420.0,600.39,1,2011-10-07 08:55:00,63
12421.0,807.04,4,2011-11-24 09:07:00,15
12422.0,803.5600000000001,3,2011-09-05 09:48:00,95
12423.0,1859.31,8,2011-12-09 10:10:00,0
12424.0,1760.96,2,2011-06-30 12:06:00,162
12425.0,777.2,1,2011-09-22 17:31:00,77
12426.0,582.73,1,2011-05-29 12:26:00,194
12427.0,825.8,3,2011-11-18 08:56:00,21
12430.0,256.4,1,2011-10-27 15:09:00,42
12434.0,806.14,2,2011-09-16 12:38:00,84
12436.0,509.01,1,2011-09-01 12:09:00,99
12438.0,2906.85,2,2011-11-25 13:28:00,13
12441.0,173.55,1,2010-12-08 10:45:00,366
12442.0,172.06,1,2011-12-06 14:22:00,2
12445.0,133.4,1,2011-11-17 18:43:00,21
12446.0,1002.3100000000001,1,2011-10-13 12:50:00,57
12447.0,476.49,1,2011-04-10 13:25:00,242
12448.0,449.45,1,2011-10-26 13:46:00,43
12450.0,197.88,2,2011-07-06 14:41:00,155
12452.0,430.57,2,2011-11-23 10:28:00,16
12453.0,707.09,1,2011-07-28 14:08:00,133
12454.0,3528.34,1,2011-10-14 17:13:00,55
12455.0,2466.86,6,2011-09-27 15:31:00,72
12456.0,3181.04,3,2011-10-26 14:41:00,43
12457.0,2363.23,7,2011-10-04 13:13:00,65
12458.0,947.4,2,2011-09-29 15:25:00,70
12461.0,826.88,2,2011-09-06 16:57:00,93
12462.0,1189.59,2,2011-11-21 09:11:00,18
12463.0,1344.78,4,2011-10-17 13:44:00,52
12464.0,1212.05,8,2011-11-29 13:33:00,9
12465.0,742.1899999999999,2,2011-11-22 16:34:00,16
12468.0,729.5400000000001,2,2011-06-05 11:36:00,187
12475.0,723.38,1,2011-10-17 10:10:00,53
12478.0,680.99,1,2011-12-06 09:56:00,3
12479.0,527.2,1,2011-11-28 13:26:00,10
12480.0,3281.63,4,2011-11-11 14:52:00,27
12483.0,2484.98,8,2011-11-22 17:02:00,16
12488.0,1298.66,3,2011-11-30 08:50:00,9
12489.0,334.93,1,2011-01-07 13:13:00,335
12491.0,460.40000000000003,1,2011-11-01 12:18:00,38
12492.0,263.21000000000004,2,2011-10-07 15:15:00,62
12493.0,433.74,2,2011-06-27 10:17:00,165
12494.0,1246.1000000000001,7,2011-11-24 09:34:00,15
12497.0,1043.1,1,2011-09-19 12:29:00,81
12498.0,403.70000000000005,3,2011-11-18 12:53:00,20
12501.0,2169.39,1,2011-01-07 12:28:00,336
12504.0,482.04999999999995,2,2011-11-21 16:02:00,17
12506.0,73.5,1,2011-04-21 08:54:00,232
12507.0,1304.81,3,2011-07-28 17:09:00,133
12508.0,398.27,2,2011-11-13 15:37:00,25
12509.0,176.5,1,2011-02-28 14:45:00,283
12510.0,982.5699999999999,2,2011-07-20 10:15:00,142
12512.0,138.03,2,2011-10-04 14:55:00,65
12513.0,612.29,1,2011-08-19 10:51:00,112
12514.0,1017.68,1,2011-03-17 16:38:00,266
12515.0,383.7,1,2010-12-21 15:43:00,352
12516.0,1312.06,2,2011-09-23 09:13:00,77
12517.0,2502.84,5,2011-11-11 14:04:00,27
12518.0,2056.89,5,2011-12-09 10:13:00,0
12519.0,340.84,1,2011-10-07 09:26:00,63
12520.0,2634.26,5,2011-09-21 15:23:00,78
12521.0,599.68,1,2011-07-20 10:51:00,142
12522.0,192.72,2,2011-10-31 15:30:00,38
12523.0,1789.77,11,2011-11-20 12:55:00,18
12526.0,1316.66,3,2011-12-09 12:09:00,0
12527.0,348.71000000000004,3,2011-09-19 11:55:00,81
12528.0,1933.48,6,2011-11-30 14:40:00,8
12530.0,1662.28,4,2011-10-11 12:34:00,59
12531.0,125.22,1,2011-11-25 11:12:00,14
12532.0,349.83000000000004,1,2011-11-09 13:47:00,29
12534.0,1089.18,1,2011-08-01 10:26:00,130
12535.0,716.35,2,2011-09-09 08:48:00,91
12538.0,363.95,1,2011-11-10 17:16:00,28
12541.0,981.18,3,2011-11-10 10:40:00,29
12544.0,372.7,1,2011-11-03 16:15:00,35
12545.0,1000.39,2,2011-09-25 13:39:00,74
12546.0,1161.5,2,2011-10-24 12:09:00,46
12547.0,207.79999999999998,2,2011-05-26 12:38:00,197
12548.0,95.19999999999999,1,2011-06-26 15:35:00,165
12550.0,964.83,1,2011-09-21 14:35:00,78
12551.0,168.0,1,2010-12-17 11:23:00,357
12552.0,437.82,2,2011-11-01 10:02:00,38
12553.0,3692.28,10,2011-12-01 16:38:00,7
12556.0,603.71,2,2011-10-20 13:06:00,49
12558.0,269.96,1,2011-12-02 10:41:00,7
12559.0,561.71,2,2011-02-02 09:49:00,310
12560.0,2134.01,3,2011-12-04 13:54:00,4
12561.0,238.85,1,2011-02-10 11:39:00,302
12564.0,456.9,1,2011-03-23 14:55:00,260
12565.0,145.92,1,2011-02-24 10:34:00,288
12566.0,351.65,1,2011-09-14 14:30:00,85
12571.0,519.61,2,2011-10-31 10:19:00,39
12572.0,1020.42,2,2011-12-01 09:20:00,8
12573.0,160.54000000000002,1,2011-04-26 15:52:00,226
